positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
1684030,上海,115417,技术,后端开发,本科,"企业服务,数据服务","上市公司,出国旅游,各种补贴,生日礼物",大数据研发工程师,"['大数据', '数据']",10k-20k,1-3年
2552297,上海,56378,开发/测试/运维类,运维安全,本科,"移动互联网,电子商务","技术大牛,开放环境",数据工程师,"['DBA', '数据']",18k-22k,1-3年
576560,上海,56333,技术,后端开发,本科,"移动互联网,数据服务",发展前景好 领导技术高 人好,大数据HaaS平台研发工程师,"['平台', '大数据', '数据']",10k-20k,1-3年
1799596,上海,70718,技术,DBA,本科,电子商务,商业保险、食堂、年终奖金,数据质量工程师,['数据'],10k-20k,1-3年
2235109,上海,112408,设计,用户研究,本科,"移动互联网,金融",扁平管理 公司氛围好,策略分析师,"['分析师', '策略']",8k-15k,1-3年
2545022,上海,19241,产品,产品经理,本科,"电子商务,O2O",发展前景好,数据产品经理,"['产品经理', '产品', '数据']",10k-20k,1-3年
2570893,上海,40092,开发/测试/运维类,数据开发,本科,"移动互联网,金融","2顿工作餐,免费零食,免费水果,免费健身",大数据平台开发工程师,"['数据挖掘', '大数据', '数据', '平台']",15k-25k,1-3年
889189,上海,27155,技术,DBA,本科,金融,良好的团队氛围和个人发展 十三薪,BI工程师/数据仓库工程师,"['数据仓库', '数据', 'BI']",10k-13k,1-3年
2557575,上海,26987,技术,数据开发,硕士,"移动互联网,数据服务",正在寻找对大数据挖掘技术充满热情的年轻人,大数据平台助理研发工程师,"['平台', '大数据', '数据挖掘', '数据']",15k-25k,1-3年
2341654,上海,83249,技术,后端开发,本科,"移动互联网,其他",每年加薪/补充公积金/每年体检/交通补贴,大数据工程师/大数据软件工程师（Java/Scala）,"['Scala', '大数据', 'Java', '数据', '软件']",12k-18k,1-3年
2492321,上海,29894,技术,软件开发,本科,"移动互联网,游戏","别墅办公,弹性工作制,年度旅游,无限零食",数据分析师（BI）,"['分析师', '数据分析', '数据', 'BI']",8k-15k,1-3年
1788932,上海,63922,运营,运营,本科,"移动互联网,金融",工资自己定，期权任性发，半年晋升,数据主管,['数据'],8k-10k,1-3年
2155027,上海,1373,技术,DBA,本科,"移动互联网,文化娱乐",Leader是国内知名的大数据应用专家,数据仓库工程师,"['数据仓库', '数据']",8k-15k,1年以下
2279768,上海,52910,运营,运营,本科,"移动互联网,O2O",福利待遇好，发展空间大，扁平化管理,数据支持员,['数据'],5k-10k,1-3年
2490177,上海,18431,技术,数据开发,硕士,"移动互联网,企业服务","专业,福利优厚,平台好,同事优秀",数据分析建模与开发工程师,"['数据分析', '数据挖掘', '数据', '建模']",10k-20k,1-3年
2239718,上海,15467,技术,高端技术职位,本科,"移动互联网,金融",福利待遇佳，上升空间大,数据工程师,['数据'],15k-25k,1-3年
2028823,上海,10215,设计,用户研究,本科,游戏,五险一金，补充医疗，餐费补贴，美女多,竞品分析师,['分析师'],10k-20k,1-3年
2536965,上海,26962,开发/测试/运维类,运维安全,本科,金融,"五险一金,绩效奖金,年终奖金,餐费补贴",大数据开发工程师,"['数据仓库', '大数据', '数据库', '数据']",10k-20k,1-3年
2452856,上海,136766,技术,运维安全,不限,"电子商务,生活服务","项目前景好,跟大牛,老板好",数据仓库,"['数据仓库', '数据']",10k-20k,1-3年
2310756,上海,76995,技术,运维安全,大专,"移动互联网,生活服务",职位诱惑 : 牛人就是我们的英雄,数据开发工程师,"['数据仓库', '大数据', '数据库', '数据']",10k-20k,1-3年
1779527,上海,52164,运营,运营,本科,游戏,高薪的工作正在向你招手！,游戏数据分析师,"['分析师', '数据分析', '游戏', '数据']",10k-20k,1-3年
2282250,上海,27155,金融,投融资,本科,金融,五险一金 专业培训 精英团队 晋升透明,高级分析师,['分析师'],8k-15k,1-3年
2570745,上海,83901,开发/测试/运维类,数据开发,本科,移动互联网,方向酷、期权奖励、良好的办公环境,大数据开发工程师,"['数据分析', '大数据', '数据库', '数据']",8k-15k,1-3年
2539414,上海,47640,技术,DBA,本科,"移动互联网,O2O",补充医疗 弹性工制 带薪年假 年终奖,初级数据工程师,['数据'],6k-8k,1-3年
1605586,上海,30356,技术,运维,本科,电子商务,薪资可谈,大数据系统工程师,"['大数据', '数据', '系统']",12k-24k,1-3年
2581963,上海,24873,金融类,风控,本科,金融,牛人多，平台大,数据建模,"['建模', '数据']",20k-30k,1-3年
693021,上海,27476,设计,用户研究,本科,"移动互联网,电子商务",五险一金绩效奖金提供班车节日福利,BI数据分析师,"['分析师', '数据分析', '数据', 'BI']",10k-15k,1-3年
